Date,Price,Target_RV,RV_Daily,RV_Weekly,RV_Monthly,middle_east__log_fatal_ewma_94_lag0,middle_east__log_fatal_ewma_94_lag1,global__log_fatal_ewma_94_lag0,global__log_fatal_ewma_94_lag1
2016-06-30,1320.6,0.0001914594676067,2.2650134858876014e-05,0.0004406761933257,0.0001577789389002,5.150945181179051,5.131790291452244,5.62537029020808,5.610343741276733
2016-07-01,1339.0,0.0002133145993634,0.0001914594676067,5.798695739506813e-05,0.000166240676295,5.12710388177469,5.150945181179051,5.632811651950091,5.62537029020808
2016-07-04,1358.7,3.798685496562314e-05,0.0002133145993634,0.0001000459214326,0.0001758007035107,5.141099829131158,5.12710388177469,5.620157769969508,5.632811651950091
2016-07-06,1367.1,1.342549312615973e-05,3.798685496562314e-05,0.0001023460863535,0.0001498396852021,5.081790770411356,5.141099829131158,5.549631544673335,5.620157769969508
2016-07-07,1362.1,7.3988890434799e-06,1.342549312615973e-05,9.57673099841778e-05,0.0001498562445992,5.125371873585502,5.081790770411356,5.587205688199281,5.549631544673335
2016-07-08,1358.4,1.7581886047013777e-06,7.3988890434799e-06,9.271706082109858e-05,0.0001501878822693,5.1383896162882605,5.125371873585502,5.628232652818822,5.587205688199281
2016-07-11,1356.6,0.000250449103309,1.7581886047013777e-06,5.477680502068002e-05,0.000143508125756,5.139026393550488,5.1383896162882605,5.616808803958071,5.628232652818822
2016-07-12,1335.3,3.839776540524047e-05,0.000250449103309,6.220370580980756e-05,0.000151831953893,5.101336380328469,5.139026393550488,5.588997771390453,5.616808803958071
2016-07-13,1343.6,7.26051873673628e-05,3.839776540524047e-05,6.228588789773102e-05,0.0001532906684692,5.095492975865488,5.101336380328469,5.593435533915183,5.588997771390453
2016-07-14,1332.2,1.3028990295108052e-05,7.26051873673628e-05,7.412182674597164e-05,0.0001532412607871,5.059081579497487,5.095492975865488,5.5905400485490455,5.593435533915183
2016-07-15,1327.4,2.0458901423725177e-06,1.3028990295108052e-05,7.524784699629726e-05,0.0001537940014135,5.1125752378829015,5.059081579497487,5.628462221720385,5.5905400485490455
2016-07-18,1329.3,5.081796770207359e-06,2.0458901423725177e-06,7.53053873038315e-05,0.0001538859007728,5.058072486802795,5.1125752378829015,5.564368335740404,5.628462221720385
2016-07-19,1332.3,9.61474199184112e-05,5.081796770207359e-06,2.623192599605832e-05,0.0001513448971511,5.088917379525292,5.058072486802795,5.589239381490047,5.564368335740404
2016-07-20,1319.3,7.79555938527792e-05,9.61474199184112e-05,3.778185689869248e-05,0.0001553648289767,5.065611158701319,5.088917379525292,5.55951003064905,5.589239381490047
2016-07-21,1331.0,3.279116239734806e-05,7.79555938527792e-05,3.885193819577576e-05,0.0001587102009118,5.081347059306615,5.065611158701319,5.571662511776918,5.55951003064905
2016-07-22,1323.4,8.71020494870614e-06,3.279116239734806e-05,4.280437261622376e-05,0.0001495806454013,5.0771043533939935,5.081347059306615,5.5815570989190535,5.571662511776918
2016-07-25,1319.5,9.69706294549551e-07,8.71020494870614e-06,4.413723557749048e-05,0.0001498007731935,5.042397643662108,5.0771043533939935,5.602618871194713,5.5815570989190535
2016-07-26,1320.8,1.986522621510993e-05,9.69706294549551e-07,4.331481748235892e-05,0.0001484957854563,5.0190914060518335,5.042397643662108,5.57097216783706,5.602618871194713
2016-07-27,1326.7,0.0001181586320148,1.986522621510993e-05,2.8058378741698663e-05,5.372122086340959e-05,5.023937907358175,5.0190914060518335,5.562998596302228,5.57097216783706
2016-07-28,1341.2,0.0001459272991403,0.0001181586320148,3.6098986374104186e-05,5.895480508338205e-05,5.01074289560068,5.023937907358175,5.544355086206893,5.562998596302228
2016-07-29,1357.5,2.3893925696369857e-06,0.0001459272991403,5.872621372270554e-05,6.438395366424763e-05,4.973019919945072,5.01074289560068,5.530780980665132,5.544355086206893
2016-08-01,1359.6,9.055830324899598e-05,2.3893925696369857e-06,5.746205124689172e-05,6.238713628227907e-05,4.950360255551142,4.973019919945072,5.531514485612584,5.530780980665132
2016-08-02,1372.6,3.331745276468834e-05,9.055830324899598e-05,7.5379770637781e-05,6.54738712091027e-05,4.943515554635162,4.950360255551142,5.533724286701495,5.531514485612584
2016-08-03,1364.7,3.906561087432561e-06,3.331745276468834e-05,7.807021594769667e-05,5.828559780718882e-05,4.918211935979995,4.943515554635162,5.480938450508857,5.533724286701495
2016-08-04,1367.4,0.0002877538735606,3.906561087432561e-06,5.521980176222183e-05,4.876705061282504e-05,4.909360297289135,4.918211935979995,5.458801410779718,5.480938450508857
2016-08-05,1344.4,5.329282794970672e-06,0.0002877538735606,8.358511664627137e-05,6.012009691259683e-05,4.901546089038479,4.909360297289135,5.443513727357543,5.458801410779718
2016-08-08,1341.3,1.614321945423223e-05,5.329282794970672e-06,8.417309469133811e-05,5.975208735208824e-05,4.885105826181055,4.901546089038479,5.481245493246813,5.443513727357543
2016-08-09,1346.7,1.4852197700965106e-05,1.614321945423223e-05,6.929007793238535e-05,6.0149556916213344e-05,4.8772148880765736,4.885105826181055,5.456881192566033,5.481245493246813
2016-08-10,1351.9,1.9780114160037027e-06,1.4852197700965106e-05,6.559702691964071e-05,6.074473914786168e-05,4.889092423706009,4.8772148880765736,5.486662921069339,5.456881192566033
2016-08-11,1350.0,2.5500133313265168e-05,1.9780114160037027e-06,6.521131698535494e-05,4.9450598607267625e-05,4.899502580265266,4.889092423706009,5.483223883542445,5.486662921069339
2016-08-12,1343.2,1.0215675389513794e-05,2.5500133313265168e-05,1.2760568935887464e-05,4.886434260308693e-05,4.91403223883951,4.899502580265266,5.502176009797529,5.483223883542445
2016-08-15,1347.5,4.832560968916501e-05,1.0215675389513794e-05,1.3737847454796089e-05,4.6028455695002885e-05,4.974484901618874,4.91403223883951,5.526214973217349,5.502176009797529
2016-08-16,1356.9,3.58486941690951e-05,4.832560968916501e-05,2.017432550178264e-05,4.763284748564183e-05,4.986922820539267,4.974484901618874,5.5452547398461896,5.526214973217349
2016-08-17,1348.8,3.854479754401805e-05,3.58486941690951e-05,2.437362479540864e-05,4.916933857776558e-05,4.970279263385651,4.986922820539267,5.525108624625903,5.5452547398461896
2016-08-18,1357.2,6.62261542504219e-05,3.854479754401805e-05,3.1686982021011514e-05,5.069038406748425e-05,4.977687519630917,4.970279263385651,5.535023674407793,5.525108624625903
2016-08-19,1346.2,4.335118522361678e-06,6.62261542504219e-05,3.983218620844286e-05,4.933032653712111e-05,4.944156704920858,4.977687519630917,5.588024150099498,5.535023674407793
2016-08-22,1343.4,4.031296246759252e-06,4.335118522361678e-06,3.865607483501244e-05,4.59839412948294e-05,4.934713748160403,4.944156704920858,5.583612196247783,5.588024150099498
2016-08-23,1346.1,0.0001502627265364,4.031296246759252e-06,2.979721214653128e-05,4.4676674651620814e-05,4.890010207792365,4.934713748160403,5.5563893873683,5.583612196247783
