Date,fatal,log_fatal,log_fatal_ewma_94
1999-02-25,0.0,0.0,0.24112099452704103
1999-02-26,0.0,0.0,0.22665373485541856
1999-02-27,0.0,0.0,0.21305451076409343
1999-02-28,0.0,0.0,0.20027124011824782
1999-03-01,0.0,0.0,0.18825496571115294
1999-03-02,0.0,0.0,0.17695966776848376
1999-03-03,0.0,0.0,0.16634208770237474
1999-03-04,0.0,0.0,0.15636156244023225
1999-03-05,0.0,0.0,0.1469798686938183
1999-03-06,0.0,0.0,0.13816107657218918
1999-03-07,0.0,0.0,0.12987141197785781
1999-03-08,0.0,0.0,0.12207912725918633
1999-03-09,0.0,0.0,0.11475437962363515
1999-03-10,1.0,0.6931471805599453,0.1494579476798138
1999-03-11,0.0,0.0,0.14049047081902497
1999-03-12,0.0,0.0,0.13206104256988346
1999-03-13,0.0,0.0,0.12413738001569045
1999-03-14,0.0,0.0,0.11668913721474902
1999-03-15,0.0,0.0,0.10968778898186407
1999-03-16,0.0,0.0,0.10310652164295223
1999-03-17,0.0,0.0,0.09692013034437509
1999-03-18,1.0,0.6931471805599453,0.13269375335730935
1999-03-19,0.0,0.0,0.12473212815587077
1999-03-20,0.0,0.0,0.11724820046651852
1999-03-21,0.0,0.0,0.1102133084385274
1999-03-22,0.0,0.0,0.10360050993221576
1999-03-23,0.0,0.0,0.0973844793362828
1999-03-24,0.0,0.0,0.09154141057610583
1999-03-25,0.0,0.0,0.08604892594153948
1999-03-26,0.0,0.0,0.08088599038504711
1999-03-27,0.0,0.0,0.07603283096194428
1999-03-28,0.0,0.0,0.07147086110422762
1999-03-29,0.0,0.0,0.06718260943797397
1999-03-30,0.0,0.0,0.06315165287169552
1999-03-31,2.0,1.0986122886681098,0.12527929101948043
1999-04-01,0.0,0.0,0.1177625335583116
1999-04-02,0.0,0.0,0.1106967815448129
1999-04-03,1.0,0.6931471805599453,0.14564380548572087
1999-04-04,0.0,0.0,0.1369051771565776
1999-04-05,0.0,0.0,0.12869086652718295
1999-04-06,0.0,0.0,0.12096941453555196
1999-04-07,0.0,0.0,0.11371124966341883
1999-04-08,0.0,0.0,0.1068885746836137
1999-04-09,1.0,0.6931471805599453,0.14206409103619363
1999-04-10,1.0,0.6931471805599453,0.17512907640761877
1999-04-11,0.0,0.0,0.16462133182316163
1999-04-12,0.0,0.0,0.1547440519137719
1999-04-13,0.0,0.0,0.1454594087989456
1999-04-14,0.0,0.0,0.13673184427100885
1999-04-15,0.0,0.0,0.12852793361474832
1999-04-16,0.0,0.0,0.12081625759786341
1999-04-17,0.0,0.0,0.11356728214199159
1999-04-18,151.0,5.0238805208462765,0.408186076464249
1999-04-19,0.0,0.0,0.38369491187639404
1999-04-20,0.0,0.0,0.3606732171638104
1999-04-21,0.0,0.0,0.3390328241339818
1999-04-22,0.0,0.0,0.3186908546859429
1999-04-23,0.0,0.0,0.29956940340478627
1999-04-24,0.0,0.0,0.28159523920049906
1999-04-25,0.0,0.0,0.2646995248484691
1999-04-26,16.0,2.833213344056216,0.418810354000934
1999-04-27,0.0,0.0,0.393681732760878
1999-04-28,1.0,0.6931471805599453,0.41164965962882205
1999-04-29,0.0,0.0,0.38695068005109273
1999-04-30,0.0,0.0,0.36373363924802715
1999-05-01,0.0,0.0,0.3419096208931455
1999-05-02,0.0,0.0,0.3213950436395568
1999-05-03,0.0,0.0,0.30211134102118337
1999-05-04,1.0,0.6931471805599453,0.3255734913935091
1999-05-05,0.0,0.0,0.30603908190989854
1999-05-06,0.0,0.0,0.2876767369953046
1999-05-07,1.0,0.6931471805599453,0.31200496360918306
1999-05-08,0.0,0.0,0.29328466579263207
1999-05-09,0.0,0.0,0.27568758584507413
1999-05-10,0.0,0.0,0.25914633069436965
1999-05-11,0.0,0.0,0.24359755085270746
1999-05-12,0.0,0.0,0.228981697801545
1999-05-13,1.0,0.6931471805599453,0.25683162676704907
1999-05-14,5.0,1.791759469228055,0.3489272973147095
1999-05-15,0.0,0.0,0.3279916594758269
1999-05-16,0.0,0.0,0.3083121599072773
1999-05-17,1.0,0.6931471805599453,0.3314022611464374
1999-05-18,0.0,0.0,0.3115181254776511
1999-05-19,0.0,0.0,0.29282703794899206
1999-05-20,0.0,0.0,0.27525741567205253
1999-05-21,0.0,0.0,0.2587419707317294
1999-05-22,0.0,0.0,0.24321745248782561
1999-05-23,0.0,0.0,0.22862440533855607
1999-05-24,0.0,0.0,0.2149069410182427
1999-05-25,0.0,0.0,0.20201252455714813
1999-05-26,1.0,0.6931471805599453,0.231480603917316
1999-05-27,0.0,0.0,0.21759176768227703
1999-05-28,0.0,0.0,0.2045362616213404
1999-05-29,0.0,0.0,0.19226408592405997
1999-05-30,2.0,1.0986122886681098,0.246644978088703
1999-05-31,0.0,0.0,0.23184627940338082
1999-06-01,0.0,0.0,0.21793550263917796
1999-06-02,0.0,0.0,0.20485937248082728
1999-06-03,0.0,0.0,0.19256781013197763
1999-06-04,0.0,0.0,0.18101374152405897
1999-06-05,12.0,2.5649493574615367,0.32404987848030775
1999-06-06,0.0,0.0,0.30460688577148926
1999-06-07,0.0,0.0,0.2863304726251999
1999-06-08,0.0,0.0,0.26915064426768787
1999-06-09,0.0,0.0,0.2530016056116266
1999-06-10,0.0,0.0,0.23782150927492898
1999-06-11,0.0,0.0,0.22355221871843323
1999-06-12,0.0,0.0,0.2101390855953272
1999-06-13,0.0,0.0,0.19753074045960756
1999-06-14,0.0,0.0,0.18567889603203108
1999-06-15,0.0,0.0,0.1745381622701092
1999-06-16,0.0,0.0,0.16406587253390265
1999-06-17,0.0,0.0,0.15422192018186848
1999-06-18,0.0,0.0,0.14496860497095637
1999-06-19,0.0,0.0,0.13627048867269898
1999-06-20,0.0,0.0,0.12809425935233704
1999-06-21,1.0,0.6931471805599453,0.16199743462479357
1999-06-22,0.0,0.0,0.15227758854730594
1999-06-23,0.0,0.0,0.14314093323446758
1999-06-24,0.0,0.0,0.1345524772403995
1999-06-25,0.0,0.0,0.12647932860597552
1999-06-26,0.0,0.0,0.11889056888961698
1999-06-27,0.0,0.0,0.11175713475623995
1999-06-28,0.0,0.0,0.10505170667086555
1999-06-29,0.0,0.0,0.09874860427061362
1999-06-30,0.0,0.0,0.09282368801437679
1999-07-01,0.0,0.0,0.08725426673351418
1999-07-02,3.0,1.3862943611198906,0.16519667239669683
1999-07-03,0.0,0.0,0.155284872052895
1999-07-04,0.0,0.0,0.1459677797297213
1999-07-05,0.0,0.0,0.137209712945938
1999-07-06,0.0,0.0,0.12897713016918172
1999-07-07,0.0,0.0,0.1212385023590308
1999-07-08,0.0,0.0,0.11396419221748895
1999-07-09,0.0,0.0,0.1071263406844396
1999-07-10,40.0,3.713572066704308,0.3235130842456319
1999-07-11,0.0,0.0,0.304102299190894
1999-07-12,9.0,2.302585092994046,0.42401126681908324
1999-07-13,0.0,0.0,0.39857059080993823
1999-07-14,0.0,0.0,0.3746563553613419
1999-07-15,0.0,0.0,0.35217697403966136
1999-07-16,0.0,0.0,0.3310463555972817
1999-07-17,0.0,0.0,0.3111835742614448
1999-07-18,0.0,0.0,0.2925125598057581
1999-07-19,0.0,0.0,0.27496180621741256
1999-07-20,1.0,0.6931471805599453,0.30005292867796457
1999-07-21,0.0,0.0,0.2820497529572867
1999-07-22,0.0,0.0,0.26512676777984945
1999-07-23,0.0,0.0,0.24921916171305847
1999-07-24,0.0,0.0,0.23426601201027494
1999-07-25,13.0,2.6390573296152584,0.3785534910665741
1999-07-26,0.0,0.0,0.35584028160257963
1999-07-27,0.0,0.0,0.33448986470642483
1999-07-28,0.0,0.0,0.31442047282403934
1999-07-29,0.0,0.0,0.29555524445459697
1999-07-30,0.0,0.0,0.2778219297873211
1999-07-31,0.0,0.0,0.26115261400008183
1999-08-01,0.0,0.0,0.2454834571600769
1999-08-02,0.0,0.0,0.2307544497304723
1999-08-03,0.0,0.0,0.21690918274664395
1999-08-04,0.0,0.0,0.2038946317818453
1999-08-05,1.0,0.6931471805599453,0.23324978470853133
