Date,Price,Open,Vol.,Change %,Log_Ret,RV_Daily,RV_Weekly,RV_Monthly
2000-09-13,5.055,5.03,47050.0,0.94,0.009341218674637327,8.725836632739314e-05,0.0003140929185511958,0.0007293584718113988
2000-09-14,5.195,5.08,35200.0,2.77,0.027318772078756114,0.0007463153078910246,0.00042130479460034153,0.0007053050222413435
2000-09-15,5.206,5.205,36630.0,0.21,0.0021151820211828876,4.473994982735326e-06,0.0003080282067259396,0.000687966008964953
2000-09-18,5.295,5.111,36610.0,1.71,0.016951172480995987,0.0002873422484804756,0.0002251497107184003,0.0006230913009729228
2000-09-19,5.363,5.3,39140.0,1.28,0.012760540947418393,0.0001628314052707415,0.000257644264590472,0.0006303781785395076
2000-09-20,5.318,5.381,36650.0,-0.84,-0.00842622717996023,7.100130448830053e-05,0.00025439285222265344,0.0006315124483749139
2000-09-21,5.287,5.295,31860.0,-0.58,-0.005846315567514892,3.417940571496698e-05,0.00011196567178744191,0.00042436667402385964
2000-09-22,5.131,5.23,45410.0,-2.95,-0.0299504052934853,0.0008970267772440324,0.0002904762282397013,0.00035600048745452974
2000-09-25,5.276,5.135,44160.0,2.83,0.027867662895240387,0.0007766066352427578,0.0003883291055921577,0.0003755234216420624
2000-09-26,5.324,5.285,67960.0,0.91,0.009056665677797138,8.20231931993887e-05,0.0003721674631778872,0.0003700660703085748
2000-09-27,5.312,5.339,52420.0,-0.23,-0.002256488358732393,5.091739713094808e-06,0.00035898555022284605,0.0003535449939167222
2000-09-28,5.124,5.445,43660.0,-3.54,-0.036033028139645026,0.0012983791169124503,0.0006118254924623427,0.00040575110446314027
2000-09-29,5.186,5.14,28720.0,1.21,0.012027303081984953,0.00014465601942592474,0.0004613513408987212,0.0004028954183137394
2000-10-02,5.352,5.325,28280.0,3.2,0.03150763570945483,0.000992731107999713,0.0005045762354501123,0.0003793697708038269
2000-10-03,5.348,5.36,25580.0,-0.07,-0.0007476635862306207,5.590008381752327e-07,0.0004882833969778696,0.00037868044884213284
2000-10-04,5.29,5.335,34750.0,-1.08,-0.010904413369488674,0.00011890623093268334,0.0005110462952217873,0.0003785629951289587
2000-10-05,5.152,5.27,47400.0,-2.61,-0.026433257068155483,0.0006987170792311918,0.00039111388768553555,0.0003852068131706693
2000-10-06,5.008,5.13,33820.0,-2.8,-0.028348355004255085,0.0008036292314472743,0.0005229085300898055,0.00039522429053504183
2000-10-09,5.15,5.0,24640.0,2.84,0.02796008087784737,0.0007817661226957661,0.00048071553302901605,0.00042120202667369957
2000-10-10,5.134,5.16,23190.0,-0.31,-0.0031116322266961406,9.682255114213983e-06,0.00048254018388422376,0.0003956940867082209
2000-10-11,5.508,5.14,52190.0,7.28,0.07031649841745968,0.0049444099496926104,0.0014476409276362092,0.000588542960397968
2000-10-12,5.63,5.51,39910.0,2.21,0.021907861285190622,0.0004799543860911541,0.0014038883890082018,0.0006103427672243668
2000-10-13,5.537,5.63,24520.0,-1.65,-0.016656604310768867,0.000277442467165524,0.0012986510361518515,0.0006189874990806455
